Instance;Random: best;Random: worst;Random: avg;Random: std;Greedy: best;Greedy: worst;Greedy: avg;Greedy: std;Evolutionary: best;Evolutionary: worst;Evolutionary: avg;Evolutionary: std
./src/problem-instances/A-n32-k5.txt;1361.7228;2244.157;1809.7618;131.28711;720.2039;945.806;868.4389;57.642387;689.70105;746.37085;712.38824;17.102427
./src/problem-instances/A-n37-k5.txt;1441.8606;2371.796;1943.0955;116.92816;847.35297;1080.6611;948.55035;53.029884;691.4288;828.76117;749.99963;43.59326
./src/problem-instances/A-n39-k5.txt;1722.4381;2623.329;2182.3638;130.53984;963.5239;1209.0375;1059.0262;62.54321;873.93475;1027.1589;951.45447;48.178642
./src/problem-instances/A-n45-k7.txt;2065.4094;3140.4478;2659.2668;145.78331;1370.095;1587.4244;1460.5675;49.774826;1211.1329;1360.112;1280.6582;38.600475
./src/problem-instances/A-n48-k7.txt;2253.2144;3582.1719;2942.2068;169.18251;1377.8966;1582.3815;1466.4747;51.199715;1172.082;1413.0646;1293.5173;73.427475
Instance;Random: best;Random: worst;Random: avg;Random: std;Greedy: best;Greedy: worst;Greedy: avg;Greedy: std;Evolutionary: best;Evolutionary: worst;Evolutionary: avg;Evolutionary: std
./src/problem-instances/A-n32-k5.txt;1319.293;2240.02;1810.8754;129.51978;720.2039;945.806;868.43896;57.642387;699.805;806.91315;737.47906;31.238157
./src/problem-instances/A-n37-k5.txt;1353.5725;2336.7378;1945.0004;117.14792;847.35297;1080.6611;948.55054;53.029877;729.4081;839.918;762.9906;30.927284
./src/problem-instances/A-n39-k5.txt;1664.7499;2653.3186;2181.4668;129.47362;963.5239;1209.0375;1059.0262;62.54321;885.3355;1060.8346;964.4411;50.579014
./src/problem-instances/A-n45-k7.txt;2112.7288;3187.9927;2661.3347;146.96431;1370.095;1587.4244;1460.5676;49.77483;1278.8745;1379.0059;1332.6897;31.397625
./src/problem-instances/A-n48-k7.txt;2250.7136;3678.5415;2943.2466;169.61147;1377.8966;1582.3815;1466.4747;51.199715;1239.446;1359.1222;1311.6405;42.146515
